DATE,BOA_CLOSE,CITY_CLOSE,WELLS_CLOSE,JPM_CLOSE,GDP_VALUE,UNEMPLO_RATE,INFLA_RATE,CC_VALUE,CPI_VALUE,GOLD_CLOSE,YIELD_VALUE
26-02-1999,32.65625,293.75,18.375,53.08333334,9483.772089,4.392857143,1.647882192,132.8,164.7,286.6,6.139928571
27-02-1999,32.96875,297.9166667,18.42708333,53.33333334,9484.959733,4.396428571,1.649652055,132.95,164.7,286.4833333,6.164964286
28-02-1999,33.28125,302.0833333,18.47916667,53.58333334,9486.147378,4.4,1.651421918,133.1,164.7,286.3666667,6.19
01-03-1999,33.59375,306.25,18.53125,53.83333334,9487.335022,4.393548387,1.653191781,133.1290323,164.7032258,286.25,6.188322581
02-03-1999,33.875,295,18.75,53.54166667,9488.522667,4.387096774,1.654961644,133.1580645,164.7064516,286.7,6.186645161
03-03-1999,33.625,289.375,18.5,53.79166667,9489.710311,4.380645161,1.656731507,133.1870968,164.7096774,286.8,6.184967742
04-03-1999,33.125,301.5625,18.96875,55.58333334,9490.897956,4.374193548,1.65850137,133.216129,164.7129032,287.7,6.183290323
05-03-1999,34.4375,308.75,19.40625,57.91666667,9492.0856,4.367741935,1.660271233,133.2451613,164.716129,287.9,6.181612903
06-03-1999,34.3125,309.1666667,19.40625,57.68055556,9493.273244,4.361290323,1.662041096,133.2741935,164.7193548,288.9333333,6.179935484
07-03-1999,34.1875,309.5833333,19.40625,57.44444445,9494.460889,4.35483871,1.663810959,133.3032258,164.7225806,289.9666667,6.178258065
08-03-1999,34.0625,310,19.40625,57.20833334,9495.648533,4.348387097,1.665580822,133.3322581,164.7258065,291,6.176580645
09-03-1999,35.125,312.5,18.96875,58.625,9496.836178,4.341935484,1.667350685,133.3612903,164.7290323,291.7,6.174903226
10-03-1999,35.75,320,19.46875,59.29166667,9498.023822,4.335483871,1.669120548,133.3903226,164.7322581,292.8,6.173225806
11-03-1999,36.0625,329.6875,19.75,58.79166667,9499.211467,4.329032258,1.670890411,133.4193548,164.7354839,293.9,6.171548387
12-03-1999,36.125,329.6875,19.4375,58.66666667,9500.399111,4.322580645,1.672660274,133.4483871,164.7387097,292.1,6.169870968
13-03-1999,36.375,329.6875,19.39583333,58.5,9501.586756,4.316129032,1.674430137,133.4774194,164.7419355,290.3,6.168193548
14-03-1999,36.625,329.6875,19.35416667,58.33333334,9502.7744,4.309677419,1.6762,133.5064516,164.7451613,288.5,6.166516129
15-03-1999,36.875,329.6875,19.3125,58.16666667,9503.962044,4.303225806,1.677969863,133.5354839,164.7483871,286.7,6.16483871
16-03-1999,36.1875,322.5,18.71875,56.54166667,9505.149689,4.296774194,1.679739726,133.5645161,164.7516129,283.4,6.16316129
17-03-1999,35.34375,313.75,18.125,54.91666667,9506.337333,4.290322581,1.681509589,133.5935484,164.7548387,283.7,6.161483871
18-03-1999,36.96875,323.4375,19.375,55.91666667,9507.524978,4.283870968,1.683279452,133.6225806,164.7580645,283,6.159806452
19-03-1999,35.75,321.25,19.28125,55,9508.712622,4.277419355,1.685049315,133.6516129,164.7612903,284,6.158129032
20-03-1999,35.91666667,320.2083333,19.34375,54.86111111,9509.900267,4.270967742,1.686819178,133.6806452,164.7645161,284.0666667,6.156451613
21-03-1999,36.08333333,319.1666667,19.40625,54.72222222,9511.087911,4.264516129,1.688589041,133.7096774,164.7677419,284.1333333,6.154774194
22-03-1999,36.25,318.125,19.46875,54.58333334,9512.275556,4.258064516,1.690358904,133.7387097,164.7709677,284.2,6.153096774
23-03-1999,34.5,305.625,18.75,53.04166667,9513.4632,4.251612903,1.692128767,133.7677419,164.7741935,284.3,6.151419355
24-03-1999,34.0625,300.625,18.59375,52.91666667,9514.650844,4.24516129,1.69389863,133.7967742,164.7774194,283.8,6.149741935
25-03-1999,34.9375,315,18.625,54.33333334,9515.838489,4.238709677,1.695668493,133.8258065,164.7806452,283.2,6.148064516
26-03-1999,34.9375,316.875,18.21875,53.66666667,9517.026133,4.232258065,1.697438356,133.8548387,164.783871,279.5,6.146387097
27-03-1999,35.1875,318.125,18.40625,54.05555556,9518.213778,4.225806452,1.699208219,133.883871,164.7870968,279.7,6.144709677
28-03-1999,35.4375,319.375,18.59375,54.44444445,9519.401422,4.219354839,1.700978082,133.9129032,164.7903226,279.9,6.143032258
29-03-1999,35.6875,320.625,18.78125,54.83333334,9520.589067,4.212903226,1.702747945,133.9419355,164.7935484,280.1,6.141354839
30-03-1999,35.5,320.625,18.0625,54.625,9521.776711,4.206451613,1.704517808,133.9709677,164.7967742,279,6.139677419
31-03-1999,35.3125,319.375,17.53125,54.25,9522.964356,4.2,1.706287671,134,164.8,279.8,6.138
01-04-1999,34.5,323.4375,18.34375,52.91666667,9524.152,4.203333333,1.708057534,134.05,164.8366667,280.2,6.137366667
02-04-1999,34.828125,325.703125,18.4296875,52.8125,9525.885011,4.206666667,1.709827397,134.1,164.8733333,279,6.136733333
03-04-1999,35.15625,327.96875,18.515625,52.70833334,9527.618022,4.21,1.71159726,134.15,164.91,278.7333333,6.1361
04-04-1999,35.484375,330.234375,18.6015625,52.60416667,9529.351033,4.213333333,1.713367123,134.2,164.9466667,278.4666667,6.135466667
05-04-1999,35.8125,332.5,18.6875,52.5,9531.084044,4.216666667,1.715136986,134.25,164.9833333,278.2,6.134833333
06-04-1999,34.8125,335,18.9375,52.83333334,9532.817055,4.22,1.716906849,134.3,165.02,279.75,6.1342
07-04-1999,36.5,358.4375,19.46875,56.25,9534.550066,4.223333333,1.718676712,134.35,165.0566667,280.1,6.133566667
08-04-1999,37.4375,365,19.75,58.58333334,9536.283077,4.226666667,1.720446575,134.4,165.0933333,280.4,6.132933333
09-04-1999,37.1875,368.125,19.875,57.04166667,9538.016088,4.23,1.722216438,134.45,165.13,281.3,6.1323
10-04-1999,37.29166667,368.75,19.89583333,57.33333334,9539.749099,4.233333333,1.723986301,134.5,165.1666667,281.7333333,6.131666667
11-04-1999,37.39583333,369.375,19.91666667,57.625,9541.48211,4.236666667,1.725756164,134.55,165.2033333,282.1666667,6.131033333
12-04-1999,37.5,370,19.9375,57.91666667,9543.215121,4.24,1.727526027,134.6,165.24,282.6,6.1304
13-04-1999,36.78125,376.25,19.6875,58.25,9544.948132,4.243333333,1.72929589,134.65,165.2766667,283.1,6.129766667
14-04-1999,36.03125,366.875,19.6875,57.58333334,9546.681143,4.246666667,1.731065753,134.7,165.3133333,281.2,6.129133333
15-04-1999,35.96875,355.3125,20.09375,57.04166667,9548.414154,4.25,1.732835616,134.75,165.35,283.75,6.1285
16-04-1999,36.5,358.125,20.21875,57.375,9550.147165,4.253333333,1.734605479,134.8,165.3866667,283.6,6.127866667
17-04-1999,36.29166667,356.4583334,20.33333333,57.13888889,9551.880176,4.256666667,1.736375342,134.85,165.4233333,283.8333333,6.127233333
18-04-1999,36.08333333,354.7916667,20.44791667,56.90277778,9553.613187,4.26,1.738145205,134.9,165.46,284.0666667,6.1266
19-04-1999,35.875,353.125,20.5625,56.66666667,9555.346198,4.263333333,1.739915068,134.95,165.4966667,284.3,6.125966667
20-04-1999,36.6875,364.0625,21.1875,55.33333334,9557.079209,4.266666667,1.741684932,135,165.5333333,284.1,6.125333333
21-04-1999,36.625,370,21.21875,55.625,9558.81222,4.27,1.743454795,135.05,165.57,283.6,6.1247
22-04-1999,37.125,375,21.34375,57.16666667,9560.545231,4.273333333,1.745224658,135.1,165.6066667,283.3,6.124066667
23-04-1999,37,374.375,21.375,56.75,9562.278242,4.276666667,1.746994521,135.15,165.6433333,283.3,6.123433333
24-04-1999,36.66666667,372.6041667,21.36458333,56.19444445,9564.011253,4.28,1.748764384,135.2,165.68,282.5333333,6.1228
25-04-1999,36.33333333,370.8333334,21.35416667,55.63888889,9565.744264,4.283333333,1.750534247,135.25,165.7166667,281.7666667,6.122166667
26-04-1999,36,369.0625,21.34375,55.08333334,9567.477275,4.286666667,1.75230411,135.3,165.7533333,281,6.121533333
27-04-1999,37.25,377.5,22,57.04166667,9569.210286,4.29,1.754073973,135.35,165.79,281.75,6.1209
28-04-1999,36.8125,372.8125,21.9375,55.75,9570.943297,4.293333333,1.755843836,135.4,165.8266667,282.5,6.120266667
29-04-1999,36.5,381.5625,21.875,55.91666667,9572.676308,4.296666667,1.757613699,135.45,165.8633333,285.8,6.119633333
30-04-1999,35.78125,374.375,21.59375,55,9574.409319,4.3,1.759383562,135.5,165.9,286.4,6.119
01-05-1999,35.95833333,374.5833334,21.71875,55.05555556,9576.14233,4.296774194,1.761153425,135.5709677,165.9032258,286.3,6.136419355
02-05-1999,36.13541667,374.7916667,21.84375,55.11111111,9577.875341,4.293548387,1.762923288,135.6419355,165.9064516,286.2,6.15383871
03-05-1999,36.3125,375,21.96875,55.16666667,9579.608352,4.290322581,1.764693151,135.7129032,165.9096774,286.1,6.171258065
04-05-1999,35.21875,361.25,21.90625,54.83333334,9581.341363,4.287096774,1.766463014,135.783871,165.9129032,285.3,6.188677419
05-05-1999,35.46875,363.75,21.9375,53.45833334,9583.074374,4.283870968,1.768232877,135.8548387,165.916129,287.1,6.206096774
06-05-1999,34.75,349.0625,21.5625,51.70833334,9584.807385,4.280645161,1.77000274,135.9258065,165.9193548,289.1,6.223516129
07-05-1999,35.15625,350.625,21.5625,52.25,9586.540396,4.277419355,1.771772603,135.9967742,165.9225806,282.5,6.240935484
08-05-1999,34.95833333,352.6041667,21.40625,52.38888889,9588.273407,4.274193548,1.773542466,136.0677419,165.9258065,280.9333333,6.258354839
09-05-1999,34.76041667,354.5833334,21.25,52.52777778,9590.006418,4.270967742,1.775312329,136.1387097,165.9290323,279.3666667,6.275774194
10-05-1999,34.5625,356.5625,21.09375,52.66666667,9591.739429,4.267741935,1.777082192,136.2096774,165.9322581,277.8,6.293193548
